MBB1;Protizaledenitvena temperatura;
MX01;Dovodna relativna vlaga;
MX03;Odvodna relativna vlaga;
MX05;Kanalski tlak dovod;
MX06;Kanalski tlak odvod;
X11;Odtaljevanje DX1 krog1;
X10;Alarm DX1 krog1;
Q04;Vklop/izklop ogrevanje DX1 krog1;
Q03;Vklop/izklop hlajenje DX1 krog1 ;
X05;Kontrolni signal ogrevanje/hlajenje DX1 krog1;
DX;Vklop/izklop DX1 krog1;
X09;Vlaženje Alarm;
X06;Kontrolni signal vlaženje;
Q02;Vklop/izklop vlažilnik;
MBB3;Protizmrzovalna temperatura grelnik sekvenca 2;
DU1;Dovodni ventilator alarm;
DU2;Odvodni ventilator alarm;
X03;Kontrolni signal toplotni izmenjevalec;
Q05;Zunanje žaluzije;
X04;Kontrolni signal ogrevanje sekvenca 1;
Q01;Vklop/izklop grelnik sekvenca 1;
GS2;Vklop/izklop grelnik sekvenca 2;
MBFS1;Filter dovodni zrak - tlak;
BMFS2;Filter odvodni zrak - tlak;
HSS1;Kontrolni signal hlajenje sekvenca 1;
HSD1;Vklop/izklop hlajenje sekvenca 1;
DU1;Požarni alarm;
DU2;Zunanji izklop;
MBA1;Dovodni ventilatorji tlak;
X01;Kontrolni signal dovodni ventilator;
MBQ1;Pretok dovodni ventilatorji;
MBA2;Tlak odvodni ventilatorji ;
MBQ2;Pretok odvodni ventilatorji;
MBB2;Zunanja temperatura;
MX02;Dovodna temperatura;
MX04;Odvodna temperatura;
Q06;Skupni alarm;
DOV;Vklop/izklop dovodni ventilator;
ODV;Vklop/izklop odvodni ventilator;
RD;Režim delovanja;
SPPDOVKOMF;Nastavitva Comfort dovodni kanal;
SPPODVKOMF;Nastavitva Comfort odvodni kanal;
SPPDOV;Dejanska nastavitva dovodni kanal;
SPPODV;Dejanska nastavitva odvodni kanal;
SPVLEKO;Želena vrednost vlaženje Eko;
SPVLKOMF;Želena vrednost vlaženje Komfort ;
SPVL;Aktualna želena vrednost vlaženje ;
SPVLKOMF;Želena vrednost razvlaževanje Komfort;
SPVLEKO;Želena vrednost razvlaževanje Eko;
SPRVL;Aktualna želena vrednost razvlaževanje;
SPrHMAX;Maksimalna dovodna vlaga;
SPrHMIN;Minimalna dovodna vlaga;
SPTMAX;Maksimalna dovodna temp.;
SPTMIN;Minimalna dovodna temp.;
aHODV;Absolutna odvodna vlaga;
EODV;Entalpija odvodni zrak;
aHDOV;Absolutna dovodna vlaga;
EDOV;Entalpija dovodni zrak;
SPTEKOGR;Želena vrednost temperatura ogrevanje Eko;
SPTKOMFGR;Želena vrednost temperatura ogrevanje Komfort;
SPTKOMFHL;Želena vrednost temperatura hlajenje Komfort;
SPTEKOHL;Želena vrednost temperatura hlajenje Eko;
SPTHL;Aktualna želena vrednost temperatura hlajenje ;
SPTGR;Aktualna želena vrednost temperatura ogrevanje ;
REZIM;Zahtevani režim delovanja;
EDOV;Entalpija dovodni zrak;

