HR029;Protizmrzovalna temperatura grelnik sekvenca 1 
HR045;Odvodna vrednost CO2 
HR049;Kontrolni signal mešalna zaluzija 
HR057;Kontrolni signal toplotni izmenjevalec
HR047;Kontrolni signal zunanje zaluzije 
HR059;Kontrolni signal ogrevanje sekvenca 1
HR013;Filter dovodni zrak - tlak
HR015;Filter odvodni zrak - tlak
HR069;Kontrolni signal hlajenje sekvenca 1
HR001;Dovodni ventilatorji tlak
HR051;Kontrolni signal dovodni ventilator
HR003;Pretok dovodni ventilatorji
HR005;Tlak odvodni ventilatorji 
HR053;Kontrolni signal odvodni ventilator
HR007;Pretok odvodni ventilatorji
HR017;Zunanja temperatura
HR019;Dovodna temperatura
HR021;Odvodna temperatura
HR245;Rezim delovanja
HR257;Aktualna zelena vrednost dovodni pretok 
HR259;Aktualna zelena vrednost odvodni pretok 
HR301;Aktualna zelena vrednost temperatura hlajenje 
HR299;Aktualna zelena vrednost temperatura ogrevanje 
HR249;Zelena vrednost dovodni pretok Komfort w
HR251;Zelena vrednost dovodni pretok Eko w
HR253;Zelena vrednost odvodni pretok Komfort w
HR255;Zelena vrednost odvodni pretok Eko w
HR287;zelena vrednost minimalni svezi zrak w
HR289;zelena vrednost maksimalni svezi zrak w
HR325;Minimalna dovodna temp. w
HR327;Maksimalna dovodna temp. w
HR291;Zelena vrednost temperatura ogrevanje Komfort w
HR293;Zelena vrednost temperatura ogrevanje Eko w
HR295;Zelena vrednost temperatura hlajenje Komfort w
HR297;Zelena vrednost temperatura hlajenje Eko w
HR285;zelena vrednost CO2 w
HR243;Zahtevani rezim delovanja w
IR004;Dovodni ventilator alarm
IR005;Odvodni ventilator alarm
IR018;Toplotni izmenjevalec alarm
IR014;Vklop/izklop toplotni izmenjevalec
IR100;Zunanje zaluzije
IR105;Vklop/izklop grelnik sekvenca 1
IR110;Vklop/izklop hlajenje sekvenca 1
IR001;Pozarni alarm
IR002;Zunanji izklop
IR167;Skupni alarm
IR101;Vklop/izklop dovodni ventilator
IR102;Vklop/izklop odvodni ventilator
