HR0001;Unit-Control Source;
HR0005;Unit-Generic Alarm;
HR0006;Evaporator - Water Flow State;
HR0008;Unit-Operating State;
HR0011;Unit-Active Operation Mode;
HR0012;Unit-Active Setpoint;
HR0013;Unit-Actual Capacity;
HR0014;Unit-Active Capacity Limit Output;
HR0015;Unit-Status;
HR0016;Evaporator Entering Water Temperature;
HR0017;Evaporator Leaving Water Temperature;
HR0022;Heat Recovery - Entering Water Temperature;
HR0023;Heat Recovery - Leaving Water Temperature;
HR0024;Outdoor Air Temp;
HR0025;Unit - Average Current;
HR0026;Unit - Average Voltage;
HR0027;Unit - Active Power;
HR0028;Warning Alarm Index;
HR0029;Problem Alarm Index;
HR0030;Fault Alarm Index;
HR0031;Warning Alarm Code;
HR0032;Problem Alarm Code;
HR0033;Fault Alarm Code;
HR0034;Unit - Operation Mode Setpoint;
HR0035;Unit - Cool Temperature Setpoint;
HR0036;Unit - Ice Temperature Setpoint;
HR0037;Unit - Heat Temperature Setpoint;
HR0038;Unit - Capacity Limit Setpoint ;
HR0039;Circuit 1 - Condenser Refrigerant Pressure;
HR0040;Circuit 1 - Condeser Saturated Temperature;
HR0041;Circuit 1 - Evaporator Refrigerant Pressure;
HR0042;Circuit 1 - Evaporator Saturated Temperature;
HR0043;Circuit 2 - Condenser Refrigerant Pressure;
HR0044;Circuit 2 - Condeser Saturated Temperature;
HR0045;Circuit 2 - Evaporator Refrigerant Pressure;
HR0046;Circuit 2 - Evaporator Saturated Temperature;
HR0051;Circuit 1 - Shutdown Alarm;
HR0052;Circuit 2 - Shutdown Alarm;
HR0053;Unit - Shutdown Alarm;
HR0059;Heat Recovery - Temperature Setpoint;
HR0060;Heat Recovery - Operating State;
HR0065;Circ 1 Compressor 1 - Suction Temperature;
HR0068;Circ 1 Compressor 1 - Discharge Temperature;
HR0073;Circ 1 Compressor 1 - Number of Starts;
HR0074;Circ 1 Compressor 1 - Number of Running Hours;
HR0086;Circ 1 Compressor 2 - Number of Starts;
HR0087;Circ 1 Compressor 2 - Number of Running Hours;
HR0099;Circ 1 Compressor 3 - Number of Starts;
HR0100;Circ 1 Compressor 3 - Number of Running Hours;
HR0104;Circ 2 Compressor 1 - Suction Temperature;
HR0107;Circ 2 Compressor 1 - Discharge Temperature;
HR0112;Circ 2 Compressor 1 - Number of Starts;
HR0113;Circ 2 Compressor 1 - Number of Running Hours;
HR0125;Circ 2 Compressor 2 - Number of Starts;
HR0126;Circ 2 Compressor 2 - Number of Running Hours;
HR0138;Circ 2 Compressor 3 - Number of Starts;
HR0139;Circ 2 Compressor 3 - Number of Running Hours;
HR0251;Freecooling - Status;
HR0253;Freecooling - Circuit 1 Mode;
HR0254;Freecooling - Circuit 2 Mode;
HR0296;Evaporator Pump - Speed;
HR0303;Evaporator Pump 1 - Number of Running Hours;
HR0305;Evaporator Pump 1 - Operating State;
HR0306;Evaporator Pump 2 - Number of Running Hours;
HR0308;Evaporator Pump 2 - Operating State;
HR1786;Circ 2 Compressor 3 - Operating State;
HR1799;Circ 2 Compressor 2 - Operating State;
HR1800;Circ 2 Compressor 1 - Actual Capacity ;
HR1812;Circ 2 Compressor 1 - Operating State;
HR1825;Circ 1 Compressor 3 - Operating State;
HR1838;Circ 1 Compressor 2 - Operating State;
HR1840;Circ 1 Compressor 1 - Actual Capacity;
HR1852;Circ 1 Compressor 1 - Operating State;
HR1900;Unit - Active Energy;
HR1902;Unit - Power Factor;
HR1966;Circuit 2 - Expansion Valve Position;
HR1970;Circuit 2 - Fan Speed;
HR1971;Circuit 2 - Condenser Approach Temperature;
HR1972;Circuit 2 - Evaporator Approach Temperature;
HR1981;Circuit 2 - Fan Staging;
HR1982;Circuit 1 - Expansion Valve Position;
HR1986;Circuit 1 - Fan Speed;
HR1987;Circuit 1 - Condenser Approach Temperature;
HR1988;Circuit 1 - Evaporator Approach Temperature;
HR1997;Circuit 1 - Fan Staging;
