HR0001;Chiller Local/Remote 
HR0005;Alarm Digital Output
HR0008;Chiller On/Off
HR0009;Chiller Enable Setpoint 
HR0011;Chiller Mode Output 
HR0012;Active Setpoint 
HR0013;Actual Capacity 
HR0014;Active Capacity Limit Output 
HR0015;Unit run mode
HR0025;Chiller Current 
HR0016;Evaporator Entering Water Temp
HR0017;Evaporator Leaving Water Temp Unit 
HR0021;MS Ctrl Tmp
HR0024;Outdoor Air Temperature 
HR0031;Warning CODE 
HR0032;Problem CODE 
HR0033;Fault CODE 
HR0035;Cool Setpoint Network
HR0038;Capacity Limit Setpoint Network
HR0101;Evaporator Pump #1 Status
HR0102;Evaporator Pump #1 Run Hours High
HR0300;Circuit #1 State
HR0321;Circuit #1 Comp #1 Status
HR0322;Circuit #1 Comp #1 Starts 
HR0323;Circuit #1 Comp #1 Run Hours High 
HR0325;Circuit #1 Comp #1 Actual Capacity
HR0400;Circuit #2 State
HR0421;Circuit #2 Comp #1 Status
HR0422;Circuit #2 Comp #1 Starts 
HR0423;Circuit #2 Comp #1 Run Hours  High 
HR0425;Circuit #2 Comp #1 Actual Capacity
