P01.Temperatura;N1-16 Vodja nabave
P02.Temperatura;N1-15 Nabava-priprava dela
P03.Temperatura;N1-14 Vodja priprave dela
P04.Temperatura;N1-13 Vodja inz.nem.
P05.Temperatura;N1-12/1 Inz.nem.2
P06.Temperatura;N1-12 Inz.nem.
P07.Temperatura;N1-25/1 Pis.inz.nem.2
P08.Temperatura;N1-25 Pis.inz.nem.
P09.Temperatura;N1-24 Pis.inz.ang.
P10.Temperatura;N1-24/1 Pis.inz.ang.2
P11.Temperatura;N1-11 Inz.ang.
P12.Temperatura;N1-11/1 Inz.ang.2
P13.Temperatura;N1-10 Vodja Inz.ang.
P14.Temperatura;N1-09 Vodja el.
P15.Temperatura;N1-08 Konstruktor el.
P16.Temperatura;N1-07 Vodnja konstruk.
P17.Temperatura;N1-19 Cajna kuhinja
P18.Temperatura;N1-06 Hodnik J
P19.Temperatura;N1-20 Kopirnica
P20.Temperatura;N1-22 Sejna soba
P21.Temperatura;N1-21 Sejna soba
P22.Temperatura;N1-06 Hodnik S
