P01.Temperatura;N2-19 Vodja prodaje PE
P02.Temperatura;N2-18 Prodaja/marketing
P03.Temperatura;N2-17 Vodja prodaje PE
P04.Temperatura;N2-16 Finance
P05.Temperatura;N2-15 Vodja financ
P06.Temperatura;N2-14 Vodja PE
P07.Temperatura;N2-13 Vodja koord.
P08.Temperatura;N2-12 Vodja PE
P09.Temperatura;N2-11 Kadrovska
P10.Temperatura;N2-10 Direktor
P11.Temperatura;N2-09 Poslovni sekretar
P12.Temperatura;N2-08 Prokurist
P13.Temperatura;N2-07 Prokurist
P14.Temperatura;N2-20/1 Prodaja marketing
P15.Temperatura;N2-22 Cajna kuhinja
P16.Temperatura;N2-06 Hodnik S
P17.Temperatura;N2-23 Kopirnica
P18.Temperatura;N2-24 Sejna soba
P19.Temperatura;N2-06 Hodnik J
P20.Temperatura;P-Sejna soba
P21.Temperatura;P-Recepcija
