"0x2203 'IO\IO.M0.AI.B0Z.Val'"	"0x010D"	"IO.M0.AI.B0Z.Val"	"B0Z-T.zunanja"	"B0Z-T.zunanja"	"B0Z-T.zunanja"	"B0Z-T.zunanja"	"B0Z-T.zunanja"	"B0Z-T.zunanja"	"B0Z-T.zunanja"	"B0Z-T.zunanja"
"0x2203 'IO\IO.M0.AI.B4.Val'"	"0x010D"	"IO.M0.AI.B4.Val"	"B4-T.gr.san.vode"	"B4-T.gr.san.vode"	"B4-T.gr.san.vode"	"B4-T.gr.san.vode"	"B4-T.gr.san.vode"	"B4-T.gr.san.vode"	"B4-T.gr.san.vode"	"B4-T.gr.san.vode"
"0x2203 'IO\IO.M0.AI.B51.Val'"	"0x010D"	"IO.M0.AI.B51.Val"	"B51-T.grelnik zraka predtok"	"B51-T.grelnik zraka predtok"	"B51-T.grelnik zraka predtok"	"B51-T.grelnik zraka predtok"	"B51-T.grelnik zraka predtok"	"B51-T.grelnik zraka predtok"	"B51-T.grelnik zraka predtok"	"B51-T.grelnik zraka predtok"
"0x2203 'IO\IO.M0.AI.B31.Val'"	"0x010D"	"IO.M0.AI.B31.Val"	"B31-T.grelnik zraka dovod iz TP"	"B31-T.grelnik zraka dovod iz TP"	"B31-T.grelnik zraka dovod iz TP"	"B31-T.grelnik zraka dovod iz TP"	"B31-T.grelnik zraka dovod iz TP"	"B31-T.grelnik zraka dovod iz TP"	"B31-T.grelnik zraka dovod iz TP"	"B31-T.grelnik zraka dovod iz TP"
"0x2203 'IO\IO.M0.AI.B32.Val'"	"0x010D"	"IO.M0.AI.B32.Val"	"B32-T.grelnik zraka povratek"	"B32-T.grelnik zraka povratek"	"B32-T.grelnik zraka povratek"	"B32-T.grelnik zraka povratek"	"B32-T.grelnik zraka povratek"	"B32-T.grelnik zraka povratek"	"B32-T.grelnik zraka povratek"	"B32-T.grelnik zraka povratek"
"0x2203 'IO\IO.M0.AI.B41.Val'"	"0x010D"	"IO.M0.AI.B41.Val"	"B41-T.grelnik zraka povratek na TP"	"B41-T.grelnik zraka povratek na TP"	"B41-T.grelnik zraka povratek na TP"	"B41-T.grelnik zraka povratek na TP"	"B41-T.grelnik zraka povratek na TP"	"B41-T.grelnik zraka povratek na TP"	"B41-T.grelnik zraka povratek na TP"	"B41-T.grelnik zraka povratek na TP"
"0x2204 'IO\IO.M0.DI.AUTO.Val'"	"0x010D"	"IO.M0.DI.AUTO.Val"	"AUTO-Automatsko delovanje"	"AUTO-Automatsko delovanje"	"AUTO-Automatsko delovanje"	"AUTO-Automatsko delovanje"	"AUTO-Automatsko delovanje"	"AUTO-Automatsko delovanje"	"AUTO-Automatsko delovanje"	"AUTO-Automatsko delovanje"
"0x2204 'IO\IO.M0.DI.ROCNO.Val'"	"0x010D"	"IO.M0.DI.ROCNO.Val"	"ROCNO-Rocno delovanje"	"ROCNO-Rocno delovanje"	"ROCNO-Rocno delovanje"	"ROCNO-Rocno delovanje"	"ROCNO-Rocno delovanje"	"ROCNO-Rocno delovanje"	"ROCNO-Rocno delovanje"	"ROCNO-Rocno delovanje"
"0x2203 'IO\IO.M0.AI.B42.Val'"	"0x010D"	"IO.M0.AI.B42.Val"	"B42-T.grelnik zraka povratek"	"B42-T.grelnik zraka povratek"	"B42-T.grelnik zraka povratek"	"B42-T.grelnik zraka povratek"	"B42-T.grelnik zraka povratek"	"B42-T.grelnik zraka povratek"	"B42-T.grelnik zraka povratek"	"B42-T.grelnik zraka povratek"
"0x2203 'IO\IO.M0.AI.TJ1.Val'"	"0x010D"	"IO.M0.AI.TJ1.Val"	"TJ1-T.HA predtok"	"TJ1-T.HA predtok"	"TJ1-T.HA predtok"	"TJ1-T.HA predtok"	"TJ1-T.HA predtok"	"TJ1-T.HA predtok"	"TJ1-T.HA predtok"	"TJ1-T.HA predtok"
