"Member"	"ID"	"Name"	"Desc"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"0x0002 0xFFFF031D"	"0x1100"	"Device"	"Device"	"Device"	"Device"	"Device"	"Device"	"Device"	"Device"	
"0x0002 0xFFFF031D"	"0x010D"	"Device"	"Device"	"Device"	"Device"	"Device"	"Device"	"Device"	"Device"	
"0x001A 0x031DB9AB"	"0x1100"	"EnableObjects"	"EnableObjects"	"EnableObjects"	"EnableObjects"	"EnableObjects"	"EnableObjects"	"EnableObjects"	"EnableObjects"	
"0x2302 0x00005FD9"	"0x1100"	"SysEnableAll"	"SysEnableAll"	"SysEnableAll"	"SysEnableAll"	"SysEnableAll"	"SysEnableAll"	"SysEnableAll"	"SysEnableAll"	
"0x2302 0x00005FD9"	"0x010D"	"SysEnableAll"	"SysEnableAll"	"SysEnableAll"	"SysEnableAll"	"SysEnableAll"	"SysEnableAll"	"SysEnableAll"	"SysEnableAll"	
"0x2302 0x00005FD9"	"0x1101"	"Passive*Active"	"Passive*Active"	"Passive*Active"	"Passive*Active"	"Passive*Active"	"Passive*Active"	"Passive*Active"	"Passive*Active"	
"0x2311 0x0000826E"	"0x1100"	"RoomCfg"	"RoomCfg"	"RoomCfg"	"RoomCfg"	"RoomCfg"	"RoomCfg"	"RoomCfg"	"RoomCfg"	
"0x2311 0x0000826E"	"0x010D"	"GlobalCfg.RoomCfg"	"GlobalCfg.RoomCfg"	"GlobalCfg.RoomCfg"	"GlobalCfg.RoomCfg"	"GlobalCfg.RoomCfg"	"GlobalCfg.RoomCfg"	"GlobalCfg.RoomCfg"	"GlobalCfg.RoomCfg"	
"0x2311 0x0000826E"	"0x1102"	"R1#R2#R3#R4#R5#R6#R7#R8#R9#R10#R11#R12#R13#R14#R15"	"R1#R2#R3#R4#R5#R6#R7#R8#R9#R10#R11#R12#R13#R14#R15"	"R1#R2#R3#R4#R5#R6#R7#R8#R9#R10#R11#R12#R13#R14#R15"	"R1#R2#R3#R4#R5#R6#R7#R8#R9#R10#R11#R12#R13#R14#R15"	"R1#R2#R3#R4#R5#R6#R7#R8#R9#R10#R11#R12#R13#R14#R15"	"R1#R2#R3#R4#R5#R6#R7#R8#R9#R10#R11#R12#R13#R14#R15"	"R1#R2#R3#R4#R5#R6#R7#R8#R9#R10#R11#R12#R13#R14#R15"	"R1#R2#R3#R4#R5#R6#R7#R8#R9#R10#R11#R12#R13#R14#R15"	
"0x2311 0x000049F5"	"0x1100"	"SpecialCfg"	"SpecialCfg"	"SpecialCfg"	"SpecialCfg"	"SpecialCfg"	"SpecialCfg"	"SpecialCfg"	"SpecialCfg"	
"0x2311 0x000049F5"	"0x010D"	"GlobalCfg.SpecialCfg"	"GlobalCfg.SpecialCfg"	"GlobalCfg.SpecialCfg"	"GlobalCfg.SpecialCfg"	"GlobalCfg.SpecialCfg"	"GlobalCfg.SpecialCfg"	"GlobalCfg.SpecialCfg"	"GlobalCfg.SpecialCfg"	
"0x2311 0x000049F5"	"0x1102"	"Pred#SpecCT1#SpecCT2#Avla#Admin"	"Pred#SpecCT1#SpecCT2#Avla#Admin"	"Pred#SpecCT1#SpecCT2#Avla#Admin"	"Pred#SpecCT1#SpecCT2#Avla#Admin"	"Pred#SpecCT1#SpecCT2#Avla#Admin"	"Pred#SpecCT1#SpecCT2#Avla#Admin"	"Pred#SpecCT1#SpecCT2#Avla#Admin"	"Pred#SpecCT1#SpecCT2#Avla#Admin"	
"0x2302 0x00004C91"	"0x1100"	"VlvNoR01"	"VlvNoR01"	"VlvNoR01"	"VlvNoR01"	"VlvNoR01"	"VlvNoR01"	"VlvNoR01"	"VlvNoR01"	
"0x2302 0x00004C91"	"0x010D"	"VlvNoR01"	"VlvNoR01"	"VlvNoR01"	"VlvNoR01"	"VlvNoR01"	"VlvNoR01"	"VlvNoR01"	"VlvNoR01"	
"0x2302 0x00004C91"	"0x1101"	"1*2*3*4"	"1*2*3*4"	"1*2*3*4"	"1*2*3*4"	"1*2*3*4"	"1*2*3*4"	"1*2*3*4"	"1*2*3*4"	
"0x2302 0x00007CF2"	"0x1100"	"VlvNoR02"	"VlvNoR02"	"VlvNoR02"	"VlvNoR02"	"VlvNoR02"	"VlvNoR02"	"VlvNoR02"	"VlvNoR02"	
"0x2302 0x00007CF2"	"0x010D"	"VlvNoR02"	"VlvNoR02"	"VlvNoR02"	"VlvNoR02"	"VlvNoR02"	"VlvNoR02"	"VlvNoR02"	"VlvNoR02"	
"0x2302 0x00007CF2"	"0x1101"	"1*2*3*4"	"1*2*3*4"	"1*2*3*4"	"1*2*3*4"	"1*2*3*4"	"1*2*3*4"	"1*2*3*4"	"1*2*3*4"	
"0x2302 0x00006CD3"	"0x1100"	"VlvNoR03"	"VlvNoR03"	"VlvNoR03"	"VlvNoR03"	"VlvNoR03"	"VlvNoR03"	"VlvNoR03"	"VlvNoR03"	
"0x2302 0x00006CD3"	"0x010D"	"VlvNoR03"	"VlvNoR03"	"VlvNoR03"	"VlvNoR03"	"VlvNoR03"	"VlvNoR03"	"VlvNoR03"	"VlvNoR03"	
"0x2302 0x00006CD3"	"0x1101"	"1*2*3*4"	"1*2*3*4"	"1*2*3*4"	"1*2*3*4"	"1*2*3*4"	"1*2*3*4"	"1*2*3*4"	"1*2*3*4"	
"0x2302 0x00001C34"	"0x1100"	"VlvNoR04"	"VlvNoR04"	"VlvNoR04"	"VlvNoR04"	"VlvNoR04"	"VlvNoR04"	"VlvNoR04"	"VlvNoR04"	
"0x2302 0x00001C34"	"0x010D"	"VlvNoR04"	"VlvNoR04"	"VlvNoR04"	"VlvNoR04"	"VlvNoR04"	"VlvNoR04"	"VlvNoR04"	"VlvNoR04"	
"0x2302 0x00001C34"	"0x1101"	"1*2*3*4"	"1*2*3*4"	"1*2*3*4"	"1*2*3*4"	"1*2*3*4"	"1*2*3*4"	"1*2*3*4"	"1*2*3*4"	
"0x2302 0x00000C15"	"0x1100"	"VlvNoR05"	"VlvNoR05"	"VlvNoR05"	"VlvNoR05"	"VlvNoR05"	"VlvNoR05"	"VlvNoR05"	"VlvNoR05"	
"0x2302 0x00000C15"	"0x010D"	"VlvNoR05"	"VlvNoR05"	"VlvNoR05"	"VlvNoR05"	"VlvNoR05"	"VlvNoR05"	"VlvNoR05"	"VlvNoR05"	
